"idhod","hodnota","stapro_kod","ekakocd_cis","ekakocd_kod","pvdom_cis","pvdom_kod","rok","uzemi_cis","uzemi_kod","stapro_txt","ekakocd_txt","pvdom_txt"
"1441283533","14398","6010","221","4","213","14","2023","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1441283534","127828","6010","221","11",,,"2023","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti",
"1441283535","3496","6010","221","11","213","14","2023","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433369892","259850","6010",,,,,"2022","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem",
"1433388285","7090","6010","220","14","213","14","2022","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433390653","19897","6010","221","4","213","14","2022","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433373385","111428","6010","221","11",,,"2022","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti",
"1433387320","147936","6010",,,"213","14","2022","97","19","Průměrné čisté peněžní příjmy domácností","Domácnosti celkem","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433387325","46815","6010","221","5","213","14","2022","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433391913","223473","6010","221","6","213","14","2022","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433388254","4364","6010","221","11","213","14","2022","97","19","Průměrné čisté peněžní příjmy domácností","Ostatní domácnosti","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433376710","269316","6010","221","6",,,"2022","97","19","Průměrné čisté peněžní příjmy domácností","Zaměstnanci",
"1433375558","303901","6010","221","5",,,"2022","97","19","Průměrné čisté peněžní příjmy domácností","Samostatně činní",
"1433375577","97437","6010","221","4",,,"2022","97","19","Průměrné čisté peněžní příjmy domácností","Nezaměstnaní",
"1433372809","224161","6010","220","14",,,"2022","97","19","Průměrné čisté peněžní příjmy domácností","Důchodci",
